      price  quantity  type               timestamp
1  91654000    0.2213     1 2024-04-28 18:43:43.086
2  91679000    0.0287     1 2024-04-28 18:43:43.086
3  91682000    0.0198     1 2024-04-28 18:43:43.086
4  91690000    0.6302     1 2024-04-28 18:43:43.086
      price  quantity  type               timestamp
0  91650000    0.0578     0 2024-04-28 18:43:48.050
1  91641000    0.0040     0 2024-04-28 18:43:48.050
2  91638000    0.0010     0 2024-04-28 18:43:48.050
3  91633000    0.0100     0 2024-04-28 18:43:48.050
4  91629000    0.0010     0 2024-04-28 18:43:48.050
      price  quantity  type               timestamp
0  91651000    0.0050     1 2024-04-28 18:43:48.050
1  91654000    0.2213     1 2024-04-28 18:43:48.050
2  91676000    0.0287     1 2024-04-28 18:43:48.050
3  91680000    0.0198     1 2024-04-28 18:43:48.050
4  91690000    0.6302     1 2024-04-28 18:43:48.050
      price  quantity  type               timestamp
0  91650000    0.0578     0 2024-04-28 18:43:53.013
1  91641000    0.0040     0 2024-04-28 18:43:53.013
2  91638000    0.0010     0 2024-04-28 18:43:53.013
3  91633000    0.0100     0 2024-04-28 18:43:53.013
4  91629000    0.0010     0 2024-04-28 18:43:53.013
      price  quantity  type               timestamp
0  91651000    0.0050     1 2024-04-28 18:43:53.013
1  91654000    0.2213     1 2024-04-28 18:43:53.013
2  91676000    0.0287     1 2024-04-28 18:43:53.013
3  91680000    0.0198     1 2024-04-28 18:43:53.013
4  91690000    0.6302     1 2024-04-28 18:43:53.013
      price  quantity  type               timestamp
0  91650000    0.0442     0 2024-04-28 18:43:57.980
1  91641000    0.0040     0 2024-04-28 18:43:57.980
2  91638000    0.0010     0 2024-04-28 18:43:57.980
3  91633000    0.0100     0 2024-04-28 18:43:57.980
4  91629000    0.0010     0 2024-04-28 18:43:57.980
      price  quantity  type               timestamp
0  91651000    0.0050     1 2024-04-28 18:43:57.980
1  91654000    0.6659     1 2024-04-28 18:43:57.980
2  91676000    0.0287     1 2024-04-28 18:43:57.980
3  91680000    0.0198     1 2024-04-28 18:43:57.980
4  91689000    0.1089     1 2024-04-28 18:43:57.980
      price  quantity  type               timestamp
0  91650000    0.0408     0 2024-04-28 18:44:02.957
1  91641000    0.0040     0 2024-04-28 18:44:02.957
2  91638000    0.0010     0 2024-04-28 18:44:02.957
3  91633000    0.0100     0 2024-04-28 18:44:02.957
4  91629000    0.0010     0 2024-04-28 18:44:02.957
      price  quantity  type               timestamp
0  91651000    0.0070     1 2024-04-28 18:44:02.957
1  91654000    0.6659     1 2024-04-28 18:44:02.957
2  91676000    0.0287     1 2024-04-28 18:44:02.957
3  91680000    0.0198     1 2024-04-28 18:44:02.957
4  91690000    0.7391     1 2024-04-28 18:44:02.957
      price  quantity  type               timestamp
0  91638000    0.0010     0 2024-04-28 18:44:07.926
1  91633000    0.0100     0 2024-04-28 18:44:07.926
2  91629000    0.0010     0 2024-04-28 18:44:07.926
3  91626000    0.3140     0 2024-04-28 18:44:07.926
4  91625000    0.0366     0 2024-04-28 18:44:07.926
      price  quantity  type               timestamp
0  91650000    0.0020     1 2024-04-28 18:44:07.926
1  91654000    0.6659     1 2024-04-28 18:44:07.926
2  91674000    0.0287     1 2024-04-28 18:44:07.926
3  91677000    0.0198     1 2024-04-28 18:44:07.926
4  91690000    0.6302     1 2024-04-28 18:44:07.926
      price  quantity  type               timestamp
0  91638000    0.0010     0 2024-04-28 18:44:12.898
1  91633000    0.0100     0 2024-04-28 18:44:12.898
2  91629000    0.0010     0 2024-04-28 18:44:12.898
3  91626000    0.3140     0 2024-04-28 18:44:12.898
4  91625000    0.0366     0 2024-04-28 18:44:12.898
      price  quantity  type               timestamp
0  91649000    0.0071     1 2024-04-28 18:44:12.898
1  91654000    0.6659     1 2024-04-28 18:44:12.898
2  91674000    0.0287     1 2024-04-28 18:44:12.898
3  91677000    0.0198     1 2024-04-28 18:44:12.898
4  91690000    0.6302     1 2024-04-28 18:44:12.898
      price  quantity  type               timestamp
0  91638000    0.0010     0 2024-04-28 18:44:17.870
1  91633000    0.0100     0 2024-04-28 18:44:17.870
2  91629000    0.0010     0 2024-04-28 18:44:17.870
3  91626000    0.3140     0 2024-04-28 18:44:17.870
4  91625000    0.0366     0 2024-04-28 18:44:17.870
      price  quantity  type               timestamp
0  91648000    0.0071     1 2024-04-28 18:44:17.870
1  91654000    0.6659     1 2024-04-28 18:44:17.870
2  91674000    0.0287     1 2024-04-28 18:44:17.870
3  91677000    0.0198     1 2024-04-28 18:44:17.870
4  91689000    0.1089     1 2024-04-28 18:44:17.870
      price  quantity  type               timestamp
0  91638000    0.0010     0 2024-04-28 18:44:22.831
1  91633000    0.0100     0 2024-04-28 18:44:22.831
2  91629000    0.0010     0 2024-04-28 18:44:22.831
3  91626000    0.3140     0 2024-04-28 18:44:22.831
4  91625000    0.0366     0 2024-04-28 18:44:22.831
      price  quantity  type               timestamp
0  91647000    0.0051     1 2024-04-28 18:44:22.831
1  91674000    0.0287     1 2024-04-28 18:44:22.831
2  91677000    0.0198     1 2024-04-28 18:44:22.831
3  91688000    0.1071     1 2024-04-28 18:44:22.831
4  91689000    0.1089     1 2024-04-28 18:44:22.831
      price  quantity  type               timestamp
0  91638000    0.0010     0 2024-04-28 18:44:27.791
1  91633000    0.0100     0 2024-04-28 18:44:27.791
2  91629000    0.0010     0 2024-04-28 18:44:27.791
3  91626000    0.3140     0 2024-04-28 18:44:27.791
4  91625000    0.0366     0 2024-04-28 18:44:27.791
      price  quantity  type               timestamp
0  91646000    0.0051     1 2024-04-28 18:44:27.791
1  91674000    0.0287     1 2024-04-28 18:44:27.791
2  91677000    0.0198     1 2024-04-28 18:44:27.791
3  91688000    0.1089     1 2024-04-28 18:44:27.791
4  91689000    0.1071     1 2024-04-28 18:44:27.791
      price  quantity  type               timestamp
0  91638000    0.0010     0 2024-04-28 18:44:32.772
1  91633000    0.0100     0 2024-04-28 18:44:32.772
2  91629000    0.0010     0 2024-04-28 18:44:32.772
3  91626000    0.3140     0 2024-04-28 18:44:32.772
4  91625000    0.0366     0 2024-04-28 18:44:32.772
      price  quantity  type               timestamp
0  91644000    0.0083     1 2024-04-28 18:44:32.772
1  91674000    0.0287     1 2024-04-28 18:44:32.772
2  91677000    0.0198     1 2024-04-28 18:44:32.772
3  91689000    0.1089     1 2024-04-28 18:44:32.772
4  91690000    0.6303     1 2024-04-28 18:44:32.772
      price  quantity  type               timestamp
0  91633000    0.0101     0 2024-04-28 18:44:37.726
1  91629000    0.0010     0 2024-04-28 18:44:37.726
2  91623000    0.0001     0 2024-04-28 18:44:37.726
3  91619000    0.0056     0 2024-04-28 18:44:37.726
4  91618000    0.0156     0 2024-04-28 18:44:37.726
      price  quantity  type               timestamp
0  91637000    0.0020     1 2024-04-28 18:44:37.726
1  91638000    0.8039     1 2024-04-28 18:44:37.726
2  91644000    0.0319     1 2024-04-28 18:44:37.726
3  91647000    0.0198     1 2024-04-28 18:44:37.726
4  91683000    0.1089     1 2024-04-28 18:44:37.726
      price  quantity  type               timestamp
0  91633000    0.0070     0 2024-04-28 18:44:42.705
1  91629000    0.0010     0 2024-04-28 18:44:42.705
2  91623000    0.0001     0 2024-04-28 18:44:42.705
3  91619000    0.0056     0 2024-04-28 18:44:42.705
4  91618000    0.0156     0 2024-04-28 18:44:42.705
      price  quantity  type               timestamp
0  91636000    0.0070     1 2024-04-28 18:44:42.705
1  91638000    0.7989     1 2024-04-28 18:44:42.705
2  91640000    0.0287     1 2024-04-28 18:44:42.705
3  91642000    0.0198     1 2024-04-28 18:44:42.705
4  91644000    0.0032     1 2024-04-28 18:44:42.705
      price  quantity  type               timestamp
0  91633000    0.0070     0 2024-04-28 18:44:47.659
1  91629000    0.0010     0 2024-04-28 18:44:47.659
2  91623000    0.0001     0 2024-04-28 18:44:47.659
3  91619000    0.0056     0 2024-04-28 18:44:47.659
4  91618000    0.0156     0 2024-04-28 18:44:47.659
      price  quantity  type               timestamp
0  91635000    0.0069     1 2024-04-28 18:44:47.659
1  91638000    0.7989     1 2024-04-28 18:44:47.659
2  91640000    0.0287     1 2024-04-28 18:44:47.659
3  91642000    0.0198     1 2024-04-28 18:44:47.659
4  91644000    0.0032     1 2024-04-28 18:44:47.659
      price  quantity  type               timestamp
0  91623000    0.0001     0 2024-04-28 18:44:52.628
1  91619000    0.0056     0 2024-04-28 18:44:52.628
2  91618000    0.0156     0 2024-04-28 18:44:52.628
3  91603000    0.0054     0 2024-04-28 18:44:52.628
4  91600000    0.0068     0 2024-04-28 18:44:52.628
      price  quantity  type               timestamp
0  91627000    0.0010     1 2024-04-28 18:44:52.628
1  91628000    0.0206     1 2024-04-28 18:44:52.628
2  91632000    0.0198     1 2024-04-28 18:44:52.628
3  91638000    0.7989     1 2024-04-28 18:44:52.628
4  91644000    0.0032     1 2024-04-28 18:44:52.628
      price  quantity  type               timestamp
0  91623000    0.0001     0 2024-04-28 18:44:57.590
1  91619000    0.0056     0 2024-04-28 18:44:57.590
2  91618000    0.0156     0 2024-04-28 18:44:57.590
3  91603000    0.0054     0 2024-04-28 18:44:57.590
4  91600000    0.0068     0 2024-04-28 18:44:57.590
      price  quantity  type               timestamp
0  91626000    0.0042     1 2024-04-28 18:44:57.590
1  91628000    0.0206     1 2024-04-28 18:44:57.590
2  91632000    0.0198     1 2024-04-28 18:44:57.590
3  91638000    0.7989     1 2024-04-28 18:44:57.590
4  91644000    0.0032     1 2024-04-28 18:44:57.590
      price  quantity  type               timestamp
0  91623000    0.0001     0 2024-04-28 18:45:02.592
1  91619000    0.0165     0 2024-04-28 18:45:02.592
2  91618000    0.0156     0 2024-04-28 18:45:02.592
3  91603000    0.0054     0 2024-04-28 18:45:02.592
4  91600000    0.0068     0 2024-04-28 18:45:02.592
      price  quantity  type               timestamp
0  91625000    0.0042     1 2024-04-28 18:45:02.592
1  91626000    0.1089     1 2024-04-28 18:45:02.592
2  91628000    0.0206     1 2024-04-28 18:45:02.592
3  91632000    0.0198     1 2024-04-28 18:45:02.592
4  91638000    0.7989     1 2024-04-28 18:45:02.592
      price  quantity  type               timestamp
0  91623000    0.0011     0 2024-04-28 18:45:07.560
1  91619000    0.0165     0 2024-04-28 18:45:07.560
2  91618000    0.0156     0 2024-04-28 18:45:07.560
3  91603000    0.0054     0 2024-04-28 18:45:07.560
4  91600000    0.0068     0 2024-04-28 18:45:07.560
      price  quantity  type               timestamp
0  91624000    0.0042     1 2024-04-28 18:45:07.560
1  91628000    0.0198     1 2024-04-28 18:45:07.560
2  91630000    0.0198     1 2024-04-28 18:45:07.560
3  91638000    0.7989     1 2024-04-28 18:45:07.560
4  91644000    0.0032     1 2024-04-28 18:45:07.560
      price  quantity  type               timestamp
0  91618000    0.0167     0 2024-04-28 18:45:12.520
1  91603000    0.0054     0 2024-04-28 18:45:12.520
2  91600000    0.0068     0 2024-04-28 18:45:12.520
3  91596000    0.5321     0 2024-04-28 18:45:12.520
4  91595000    0.0007     0 2024-04-28 18:45:12.520
      price  quantity  type               timestamp
0  91619000    0.0075     1 2024-04-28 18:45:12.520
1  91622000    0.0198     1 2024-04-28 18:45:12.520
2  91638000    0.7989     1 2024-04-28 18:45:12.520
3  91644000    0.0032     1 2024-04-28 18:45:12.520
4  91654000    0.0166     1 2024-04-28 18:45:12.520
      price  quantity  type               timestamp
0  91603000    0.0054     0 2024-04-28 18:45:17.475
1  91600000    0.0063     0 2024-04-28 18:45:17.475
2  91596000    0.5321     0 2024-04-28 18:45:17.475
3  91595000    0.0007     0 2024-04-28 18:45:17.475
4  91594000    0.0100     0 2024-04-28 18:45:17.475
      price  quantity  type               timestamp
0  91614000    0.0077     1 2024-04-28 18:45:17.475
1  91617000    0.0030     1 2024-04-28 18:45:17.475
2  91619000    0.0020     1 2024-04-28 18:45:17.475
3  91638000    0.7989     1 2024-04-28 18:45:17.475
4  91644000    0.0032     1 2024-04-28 18:45:17.475
      price  quantity  type               timestamp
0  91603000    0.0017     0 2024-04-28 18:45:22.447
1  91600000    0.0063     0 2024-04-28 18:45:22.447
2  91596000    0.5321     0 2024-04-28 18:45:22.447
3  91595000    0.0007     0 2024-04-28 18:45:22.447
4  91594000    0.0000     0 2024-04-28 18:45:22.447
      price  quantity  type               timestamp
0  91613000    0.0063     1 2024-04-28 18:45:22.447
1  91638000    0.7989     1 2024-04-28 18:45:22.447
